Nama Produk;Rating;Review
Mangga Harum Manis ;5;Toko ini selalu punya stok mangga Harum Manis yang terbaik.
Mangga Harum Manis ;5;Mangga Harum Manis di sini selalu fresh dan bermutu tinggi.
Mangga Harum Manis ;5;Pelayanan ramah dan mangga Harum Manis yang super enak!
Mangga Harum Manis ;5;Rasanya, mangga Harum Manis di sini tidak ada duanya.
Mangga Harum Manis ;5;Mangga Harum Manis di sini selalu memberi kebahagiaan dalam setiap gigitannya.
Mangga Harum Manis ;5;Beli mangga Harum Manis di sini, pasti nggak akan menyesal.
Mangga Harum Manis ;5;Mangga Harum Manis di toko ini selalu matang sempurna.
Mangga Harum Manis ;5;Saya suka bagaimana mangga Harum Manis di sini selalu manisnya pas.
Mangga Harum Manis ;5;Mangga Harum Manis di sini adalah yang terbaik di kelasnya.
Mangga Harum Manis ;5;Setiap kali belanja, mangga Harum Manis di sini tidak pernah mengecewakan.
Mangga Harum Manis ;5;Buah mangga Harum Manis yang dijual di sini sangat segar dan berkualitas.
Mangga Harum Manis ;5;Mangga Harum Manis dari toko ini benar-benar menggugah selera, manisnya pas banget!
Mangga Harum Manis ;5;Mangga Harum Manis di sini juaranya, matang sempurna dan rasanya lezat.
Leci Madu;5;bagus, seger, manis, biji kecil. mantep. ❤️❤️ seller baik n bersedia ketika minta tolong sortirin. jd ga sia2 kan posisi dari karawaci sampe beli disini 😍. buah ok, tp krn buah alami jd tdk terlepas dr produk yg kurang sempurna tp sellernya melakukan yg terbaik unk pembeli. makasiihhhh 👍🏻👍🏻
Leci Madu;5;Wow, buah leci madu di sini juara banget! Manisnya pas, segar banget di lidah.
Leci Madu;5;Puas banget belanja di sini, leci madunya selalu matang sempurna dan manisnya dapet.
Leci Madu;5;Leci madu terbaik yang pernah saya coba! Gak kecewa sama sekali.
Leci Madu;5;Tokonya ramah, suka banget pelayanannya yang cepat tanggap, leci madunya juga top markotop.
Leci Madu;5;Pokoknya gak nyesel deh beli leci madu di sini, pelayanannya juga bikin betah.
Leci Madu;5;Leci madu di sini beda, manisnya nendang tapi gak bikin eneg.
Leci Madu;5;Tempat favorit buat beli leci madu, selalu fresh dan layanannya memuaskan.
Leci Madu;5;Kualitas leci madu di sini istimewa, ukuran besar-besar dan rasanya bener-bener manis.
Leci Madu;5;Suka banget sama leci madunya, seger banget dan harga sesuai kualitas.
Leci Madu;5;Bener-bener recommended, leci madunya enak banget dan pelayanan juga ramah.
Leci Madu;5;Buat pecinta leci madu wajib mampir ke sini, rasanya bikin ketagihan!
Mangga Indramayu;5;toko ini sudah jadi pilihan hati. sudah lebih dari dua kali belanja di sini dan sangat memuaskan baik dengan kualitas barang maupun sellernya yang sangat informatif. mangga indramayunya seksi dan manis seger gitu, tambah cabe rujak enak..terima kasih.
Mangga Indramayu;5;Rasanya sungguh segar dan manis, mangga Indramayu ini juara untuk camilan di siang hari!
Mangga Indramayu;5;Mangga Indramayu dari toko ini benar-benar lezat, terasa seperti musim panen langsung dari kebun!
Mangga Indramayu;5;Sukses bikin saya ketagihan, mangga Indramayu di sini bikin pengen makan terus.
Mangga Indramayu;5;Mangga Indramayu yang dijual di sini bikin seger di lidah, manis di hati!
Mangga Indramayu;5;Mangga Indramayu favorit keluarga, tiap gigitan berasa kayak liburan di pantai!
Mangga Indramayu;5;Ga ada duanya, mangga Indramayu dari toko ini bener-bener nendang rasanya!
Mangga Indramayu;5;Kualitas mangga Indramayu yang dijual top banget, ga heran tiap kali belanja disini selalu puas.
Mangga Indramayu;5;Puas banget deh sama mangga Indramayu dari sini, bikin harimu makin manis.
Mangga Indramayu;5;Mangga Indramayu yang dijual di sini sungguh enak, harga bersahabat pula.
Mangga Indramayu;5;Di sini beli mangga Indramayu gampang dan pasti fresh, jadi ga ragu deh.
Mangga Indramayu;4;Mangga Indramayu di sini sangatlah enak dan segar, namun ada sedikit variasi dalam tingkat kematangannya. Meskipun begitu, rasa manisnya tetap memikat dan worth it untuk dicoba!
Jeruk Wogam;5;Tapi ada beberapa jeruk yg rasanya sdh mulai aneh, walopun kulit jeruknya masih mulus
Jeruk Wogam;5;Jeruk Wogam ini sungguh manis dan segar! Buahnya besar-besar dan rasanya bikin nagih. Puas banget belanja di sini!
Jeruk Wogam;5;Suami saya doyan banget sama jeruk ini. Beli di sini kualitasnya oke banget, langsung dari kebunnya.
Jeruk Wogam;5;Jeruk Wogamnya sampai cepat dan dalam kondisi sangat baik. Packagingnya juga rapih dan aman.
Jeruk Wogam;5;Belanja di toko ini gampang banget. Pelayanannya ramah dan responsif, jadi bisa beli jeruk tanpa ribet.
Jeruk Wogam;5;Buat saya yang hobi masak, jeruk Wogam ini bener-bener juara. Cocok buat jus atau langsung dimakan.
Jeruk Wogam;5;Pengiriman super cepat dan jeruknya fresh banget! Pilihannya juga beragam, jadi gak bosen buat dicoba.
Jeruk Wogam;5;Dulu suka bingung cari jeruk seger, tapi sejak temen rekomenin toko ini, langsung jatuh cinta sama kualitasnya.
Jeruk Wogam;5;Beli jeruk Wogam di sini rasanya kayak langsung petik dari kebun sendiri. Mantap!
Pepaya California;5;toko ini sudah jadi pilihan hati. sudah lebih dari dua kali belanja di sini dan sangat memuaskan baik dengan kualitas barang maupun sellernya yang sangat informatif. pepayanya terlihat seger benerr...terima kasih.
Pepaya California;5;sudah lama tidak belanja di seller ini. akhirnya kembali lagi karena ada buah mangga cerry yang enak itu..pastinya jadi beli yang lain karena memang kualitas buahnya bagus ya.
Pepaya California;5;Pengiriman cepaaaaaat buah segar rasa mantaaaaab. Udah order ke 3
Pepaya California;5;terima kasih sudah di terima pesanannya. nanas raksasa...bisa buat makan sekampung...jeruknya manis banget..mantab
Pepaya California;5;Buahnya bagus semua, tapi sayang ya slow response banget & pesen instan tapi ga dikirim di hari yang sama padahal pesen pagi/siang. Dikirim H+1. Kalau yang butuh untuk konsumsi atau kasih orang cepet, ga rekomen ya. Pesen disini kalau santai aja, yg mau 48 jam kemudian baru terima
Pepaya California;5;Pepaya California di sini selalu segar dan manis, sangat direkomendasikan!
Pepaya California;5;Toko ini selalu menyediakan pepaya terbaik dengan harga yang terjangkau.
Pepaya California;5;Pepaya California-nya besar-besar dan juicy banget, suka banget!
Pepaya California;5;Pelayanan cepat dan ramah, pepaya sampai dengan kondisi prima.
Pepaya California;5;Suka banget sama kualitas pepaya di sini, pasti beli lagi.
Pepaya California;5;Pepaya California di sini selalu matang sempurna, cocok buat langsung dimakan.
Pepaya California;5;Harga bersaing dan kualitas pepaya tidak pernah mengecewakan.
Pepaya California;5;Toko ini jadi langganan buat beli pepaya, selalu fresh!
Pepaya California;5;Kualitas pepaya terbaik yang pernah saya beli, sangat worth it!
Pepaya California;5;Pepaya California di sini lebih manis dibandingkan tempat lain.
Pepaya California;5;Selalu puas dengan kualitas dan service di toko ini.
Pepaya California;5;Beli pepaya di sini mudah, cepat, dan nyaman.
Pepaya California;5;Pepaya yang selalu segar dan siap dinikmati setiap hari.
Pepaya California;5;Suka dengan kemasan yang rapi dan pengiriman tepat waktu.
Pepaya California;5;Pepaya California di sini selalu fresh dari kebun.
Pepaya California;5;Selalu dapat pepaya berkualitas tinggi di toko ini.
Pepaya California;5;Kualitas terbaik dengan harga yang ramah di kantong.
Pepaya California;5;Pepaya California terbaik di kota ini, pasti puas!
Pepaya California;5;Senang bisa belanja pepaya tanpa khawatir kualitas.
Pepaya California;5;Toko ini paham banget cara memilih pepaya yang baik.
Pepaya California;5;Service toko yang friendly bikin belanja jadi lebih menyenangkan.
Pepaya California;5;Pepaya yang diantar sesuai harapan, tidak ada yang busuk.
Pepaya California;5;Beli pepaya di sini hemat waktu dan tenaga.
Pepaya California;5;Puas dengan harga dan rasa pepaya California di sini.
Pepaya California;5;Suami senang banget sama pepaya yang saya beli di sini.
Pepaya California;5;Service ramah dan helpful saat bertanya tentang pepaya.
Pepaya California;5;Pepaya California di toko ini lebih besar dan lebih manis.
Pepaya California;5;Toko ini jadi favorit untuk beli buah-buahan segar.
Pepaya California;5;Harga yang adil untuk kualitas pepaya yang premium.
Pepaya California;5;Saya selalu merekomendasikan toko ini buat beli pepaya California.
Salak Pondoh;5;Udah beli beberapa kali di toko ini tapi baru sempet kasih ulasan... maaf y... pokonya bagus deh, amanah, seller ramah... 
Salak Pondoh;5;Pengiriman cepaaaaaat buah segar rasa mantaaaaab. Udah order ke 3
Salak Pondoh;5;Salak di toko ini luar biasa manisnya! Rasanya segar banget, jauh lebih baik daripada yang pernah saya coba sebelumnya.
Salak Pondoh;5;Suka banget sama salak di sini. Udah beberapa kali beli dan selalu puas sama kualitasnya yang konsisten.
Salak Pondoh;5;Salaknya juara! Ukurannya besar-besar dan dagingnya tebal, rasanya bikin ketagihan.
Salak Pondoh;5;Pelayanan di toko sangat ramah, mereka bahkan kasih rekomendasi cara memilih salak yang bagus. Top markotop!
Salak Pondoh;5;Salaknya selalu fresh! Beli pagi ini, buahnya masih kinyis-kinyis di sore harinya. Puas banget!
Salak Pondoh;5;Tempatnya bersih dan tertata rapi, membuat belanja jadi lebih nyaman. Salaknya juga nggak pernah mengecewakan.
Salak Pondoh;5;Beli salak di sini udah seperti kebiasaan. Enggak pernah kecewa dengan kualitasnya yang terbaik di kota ini.
Salak Pondoh;5;Sayang banget kalau lewatkan untuk mencoba salak di sini. Harganya sebanding dengan kualitasnya yang super.
Pir Century;5;Sekian kali beli disini. Buahnya selalu kualitas baguss. Pengiriman cepat. Packing rapiii. Terima kasih seller
Pir Century;5;Udah beli beberapa kali di toko ini tapi baru sempet kasih ulasan... maaf y... pokonya bagus deh, amanah, seller ramah... 
Pir Century;3;Produknya selalu bagus, sehingga sering belanja disini. Tapi kecewa pelayanannya sekarang menurun untuk jadwal pengiriman, minta pagi2 baru dikirim siang. Membalas chat setelah barang dikirim. Mohon ditingkatkan pelayanannya, kalau barang tidak ada di chat saja. Trmksh yaa
Pir Century;5;Pirnya bagus, manis, seperti biasa, pengiriman cepat, packing rapi, terima kasih seller
Pir Century;5;Pengiriman cepaaaaaat buah segar rasa mantaaaaab. Udah order ke 3
Pir Century;5;Bagus bagus buahnya berkualitas & pengiriman sangat cepat. Akan langganan 🥰🥰🥰🥰
Pir Century;5;"Mantap buah nya bagus"" gak kecewa pasti langganan "
Pir Century;5;Segar banget, pir Century selalu bikin seger pas dimakan!
Pir Century;5;Pir Century di sini juara, manisnya pas banget di lidah.
Pir Century;5;Beli pir Century di sini, selalu dapet yang matang sempurna.
Pir Century;5;Puas banget belanja pir Century, selalu fresh dan lezat.
Pir Century;5;Pir Century di toko ini kualitasnya oke banget, manisnya nggak terlupakan.
Pir Century;5;Buah pir Century di sini selalu bersih dan siap santap.
Pir Century;5;Warna pir Century di sini cantik, rasanya juga enak.
Pir Century;5;Toko ini punya stok pir Century yang selalu segar setiap waktu.
Pir Century;5;Pir Century di sini jadi pilihan favorit, karena selalu terjaga kualitasnya.
Pir Century;5;Layanan di toko ini ramah dan pir Century-nya recommended banget!
Naga Merah;5;Pengiriman cepet banget mesen siang eh sore pada hari yg sama sampai. Seller komunikatif dan responsif. buah manis semua ga ada masalah. 
Naga Merah;5;Produknya selalu bagus, sehingga sering belanja disini. Tapi kecewa pelayanannya sekarang menurun untuk jadwal pengiriman, minta pagi2 baru dikirim siang. Membalas chat setelah barang dikirim. Mohon ditingkatkan pelayanannya, kalau barang tidak ada di chat saja. Trmksh yaa
Naga Merah;5;Sekian kali beli disini. Buahnya selalu kualitas baguss. Pengiriman cepat. Packing rapiii. Terima kasih seller
Naga Merah;5;barang sudaah di terima dalam kondisi baik. buahnya selalu manis dan puas sekali belanja di seller ini. 
Naga Merah;5;Enak. Manis. pengiriman cepet hari yang sama sorenya langsung sampe. seller responsif sawonya ga ada lgsg nanya mau diganti apa. selalu puas
Naga Merah;5;Pengiriman cepaaaaaat buah segar rasa mantaaaaab. Udah order ke 3
Naga Merah;5;Buahnya segarrr, pengiriman cepat, packagin aman. Terimakasih seller
Naga Merah;5;Buah naga merahnya segar banget, manisnya pas, bikin pengen nambah terus!
Naga Merah;5;Tokonya pelayanannya ramah, suka banget belanja di sini.
Naga Merah;5;Buah naga merahnya besar-besar, cantik warnanya, enak dimakan langsung atau dibuat jus.
Naga Merah;5;Pelayanan cepat dan responsif, pokoknya puas deh!
Naga Merah;5;Buah naga merahnya matang sempurna, gak ada yang masih keras atau overripe.
Naga Merah;5;Tokonya bersih, buahnya juga bagus-bagus semua.
Naga Merah;5;Buah naga merahnya juicynya pas, nggak terlalu berair tapi juga nggak kering.
Naga Merah;5;Pelayanan ramah dan informatif, mereka tahu banget soal buah naga merah.
Naga Merah;5;Buah naga merahnya gurih banget, bener-bener manis alami.
Naga Merah;5;Tokonya nyaman, parkirannya luas, gampang buat belanja.
Naga Merah;5;Buah naga merahnya fresh banget, berasa baru dipetik langsung dari kebun.
Naga Merah;5;Pelayanan ramah, suka kasih saran cara makan buah naga merah yang enak.
Naga Merah;5;Buah naga merahnya banyak pilihannya, dari yang kecil sampe yang gede semua ada.
Naga Merah;5;Tokonya bersih dan tertata rapi, bikin betah belanja lama-lama.
Naga Merah;5;Buah naga merahnya segar dan terawat, gak ada yang cacat.
Naga Merah;5;Pelayanannya baik, mereka juga cepat bantu cariin yang lagi bagus.
Naga Merah;5;Buah naga merahnya murah tapi kualitasnya oke banget.
Naga Merah;5;Tokonya ramah lingkungan, pake kantong kertas buat buahnya.
Naga Merah;5;Buah naga merahnya enak dimakan langsung atau dibikin smoothie.
Naga Merah;5;Pelayanan tanggap, kalau ada yang kurang bagus langsung diganti.
Naga Merah;5;Buah naga merahnya manis banget, pas buat cemilan sehat.
Naga Merah;5;Tokonya ada promo diskon juga, jadi bisa lebih hemat belanja.
Naga Merah;5;Buah naga merahnya matang sempurna, teksturnya lembut.
Naga Merah;5;Pelayanan cepat, gak perlu lama-lama nunggu.
Naga Merah;5;Buah naga merahnya bagus sih, tapi beberapa ada yang agak kecil-kecil.
Naga Merah;5;Pelayanan toko cukup baik, tapi kadang agak lama melayani saat ramai.
Mangga Gedong Gincu;5;ini pembelian kedua saya. saat pembelian pertama benar-benar memuaskan buah-buahan yang datang itu manis dan segar. perlu kecewa dulu dengan toko sebelah biar bisa bandingin mana yang the best..memang toko ini akhirnya jadi pemenang hati saya.
Mangga Gedong Gincu;5;Repeat order ber kali2, sengaja minta yg blm kuning2 soalnya cpt banget mateng 👍
Mangga Gedong Gincu;5;Baguss.. ada yang siap makan dan harus tunggu dulu biar ranum.. gpp.. 👍 seller komunikatif .. packingnya agak lama .. terima kasih seller
Mangga Gedong Gincu;5;barang sudaah di terima dalam kondisi baik. buahnya selalu manis dan puas sekali belanja di seller ini. 
Mangga Gedong Gincu;5;Enak. Manis. pengiriman cepet hari yang sama sorenya langsung sampe. seller responsif sawonya ga ada lgsg nanya mau diganti apa. selalu puas
Mangga Gedong Gincu;5;Paket sudah diterima sesuai pesanan, packing aman, pengiriman cepat
Mangga Gedong Gincu;5;Harga: sesuaim, Kualitas: baik, Ukuran/Berat: sesuai, Paket sudah diterima sesuai pesanan, packing aman, pengiriman cepat
Mangga Gedong Gincu;5;Ukuran/Berat: Pas, Harga: Murah, Kualitas: Premium
Mangga Gedong Gincu;5;maniss bgttt
Mangga Gedong Gincu;5;Buah Mangga Gedong Gincu yang saya beli sungguh segar dan manis, cocok untuk camilan sehari-hari!
Mangga Gedong Gincu;5;Mangga Gedong Gincu dari toko ini benar-benar lezat dan aromanya harum sekali.
Mangga Gedong Gincu;5;Toko ini selalu menyediakan Mangga Gedong Gincu yang matang sempurna, jadi tidak perlu menunggu lama untuk bisa dinikmati.
Mangga Gedong Gincu;5;Mangga Gedong Gincu di sini selalu besar dan berwarna merah kuning yang menawan.
Mangga Gedong Gincu;5;Selalu senang membeli Mangga Gedong Gincu di sini karena selalu segar dan berkualitas.
Mangga Gedong Gincu;5;Buah Mangga Gedong Gincu yang saya beli hari ini sangat manis dan juicy!
Mangga Gedong Gincu;5;Toko ini menyediakan Mangga Gedong Gincu yang selalu siap makan.
Mangga Gedong Gincu;5;Rasanya Mangga Gedong Gincu di sini selalu konsisten, tidak ada yang terlalu masam.
Mangga Gedong Gincu;5;Terima kasih atas Mangga Gedong Gincu yang selalu fresh dan enak!
Mangga Gedong Gincu;5;Beli Mangga Gedong Gincu di sini pasti puas, rasa dan teksturnya selalu sempurna.
Mangga Gedong Gincu;5;Mangga Gedong Gincu dari toko ini selalu memberikan kenikmatan yang tiada duanya.
Mangga Gedong Gincu;5;Setiap kali belanja di sini, Mangga Gedong Gincu selalu juicy dan manis.
Mangga Gedong Gincu;5;Suka sekali dengan Mangga Gedong Gincu di toko ini, selalu juara!
Mangga Gedong Gincu;5;Mangga Gedong Gincu di sini selalu terasa segar dan lezat di setiap gigitannya.
Mangga Gedong Gincu;5;Mangga Gedong Gincu yang saya beli di sini tidak pernah mengecewakan.
Mangga Gedong Gincu;5;Beli Mangga Gedong Gincu di sini pasti langsung ketagihan.
Mangga Gedong Gincu;5;Toko ini punya Mangga Gedong Gincu terbaik yang pernah saya coba!
Mangga Gedong Gincu;5;Mangga Gedong Gincu di sini selalu matang dengan sempurna, tidak terlalu keras atau terlalu lembek.
Mangga Gedong Gincu;5;Harga Mangga Gedong Gincu di sini sebanding dengan kualitasnya yang super.
Mangga Gedong Gincu;5;Saya selalu merekomendasikan toko ini untuk yang ingin menikmati Mangga Gedong Gincu yang legit.
Mangga Gedong Gincu;5;Mangga Gedong Gincu di sini selalu siap menyegarkan hari saya.
Mangga Gedong Gincu;5;Saya jadi penggemar berat Mangga Gedong Gincu dari toko ini!
Mangga Gedong Gincu;4;Mangga Gedong Gincu di toko ini selalu memiliki rasa yang enak dan tekstur yang juicy, meskipun kadang-kadang saya menemukan satu atau dua buah yang belum matang sempurna. Tapi secara keseluruhan, saya senang dengan kualitasnya dan akan terus membeli di sini.
Apel Fuji;5;Bagus bagus buahnya berkualitas & pengiriman sangat cepat. Akan langganan 🥰🥰🥰🥰
Apel Fuji;5;Udah beli beberapa kali di toko ini tapi baru sempet kasih ulasan... maaf y... pokonya bagus deh, amanah, seller ramah... 
Apel Fuji;5;Kualitas bagus, tekstur renyah
Apel Fuji;5;"Mantap buah nya bagus"" gak kecewa,pasti langganan"
Apel Fuji;5;Apel Fuji di sini selalu manis dan segar, sangat cocok untuk camilan sehat.
Apel Fuji;5;Saya suka cara mereka mengemas Apel Fuji, selalu terjaga kebersihannya.
Apel Fuji;5;Pelayanan di toko sangat ramah, mereka membantu saya memilih Apel Fuji yang terbaik.
Apel Fuji;5;Apel Fuji dari toko ini selalu matang dengan sempurna, rasa dan teksturnya istimewa.
Apel Fuji;5;Harganya wajar untuk kualitas Apel Fuji yang mereka tawarkan.
Apel Fuji;5;Toko ini adalah pilihan favorit saya untuk Apel Fuji karena konsistensi kualitasnya.
Apel Fuji;5;Apel Fuji di sini selalu tahan lama setelah dibeli, tidak cepat layu.
Apel Fuji;5;Penyimpanan Apel Fuji di toko ini selalu terjaga dengan baik, terhindar dari kerusakan.
Apel Fuji;5;Rasanya selalu konsisten, Apel Fuji favorit keluarga saya berasal dari sini.
Apel Fuji;5;Toko ini memiliki koleksi Apel Fuji terbaik di kota ini.
Apel Fuji;5;Apel Fuji yang dijual di sini selalu segar, membuatnya menyegarkan.
Apel Fuji;5;Saya sangat puas dengan Apel Fuji yang saya beli, rasa manisnya terasa alami.
Nangka Kupas;5;Selalu nyaman berbelanja di sini karena pilihan Apel Fuji yang lengkap.
Nangka Kupas;5;Toko ini adalah tempat terbaik untuk mendapatkan Apel Fuji premium.
Nangka Kupas;5;Tumben dapatnya agak muda. Mungkin next pas yang sudah matang ya nangkanya. Respon penjual baik. Pengiriman cepat. Terima kasih seller 🙏🏻
Nangka Kupas;5;Bagusss.. seger.. cocok mau bikin es teler .. 👍 seller komunikatif .. packingnya agak lama .. karena nangkanya baru dikupas .. terima kasih seller
Nangka Kupas;5;Enak. Manis. pengiriman cepet hari yang sama sorenya langsung sampe. seller responsif sawonya ga ada lgsg nanya mau diganti apa. selalu puas
Nangka Kupas;5;Ukuran/Berat: baik, Harga: murah, Kualitas: baik, segar, manis., Kirimnya dihari yg sama. Respon seller baik&cepat 👍
Nangka Kupas;5;Harga: murah, Kualitas: bagus, Ukuran/Berat: pas
Nangka Kupas;5;Harga: sesuai, Kualitas: baik, Ukuran/Berat: sesuai, Paket sudah diterima sesuai pesanan, packing aman, pengiriman cepat
Nangka Kupas;4;Kurang manis
Nangka Kupas;5;Manis banget 😍😍😍
Nangka Kupas;5;Buah nangka kupasnya enak banget! Selalu fresh dan manis tiap kali pesan, plus pelayanannya ramah dan cepat tanggap.
Nangka Kupas;5;Nangka kupas di sini bener-bener juara. Potongannya pas, gak berlebihan, dan rasanya selalu bikin ketagihan. Tokonya juga nggak pernah bikin kecewa.
Nangka Kupas;5;Gue pesen nangka kupas di sini selalu datang dalam keadaan oke banget. Cepet, bersih, dan pastinya enak. Pelayanan juga baik, suka deh.
Nangka Kupas;5;Buat yang suka buah tropis, cobain deh nangka kupas dari sini. Selalu bagus kualitasnya, dan toko ini selalu siap sedia bantu kalau ada pertanyaan.
Nangka Kupas;5;Toko buah nangka kupas terbaik yang pernah gue coba. Rasanya konsisten enak, dan mereka juga tanggap banget dalam proses pesan antar. Bakal jadi langganan deh!
Nanas Sunpride;5;seller baik n bersedia ketika minta tolong sortirin. jd ga sia2 kan posisi dari karawaci sampe beli disini 😍. mangganya ok, tp krn buah alami jd tdk terlepas dr produk yg kurang sempurna tp sellernya melakukan yg terbaik unk pembeli. makasiihhhh 👍🏻👍🏻
